SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
gchfr	28	38	20	34	7	188	56	98	99	28	93	118	242	447	428
LOC117806071	18	55	10	18	6	201	33	77	85	41	43	38	158	145	203
LOC117806070	5	8	0	1	0	22	11	4	9	3	8	3	13	19	9
LOC117806072	15	20	0	32	0	16	2	1	1	0	0	21	2	3	2
bmf1	39	133	6	11	6	49	11	7	8	5	26	25	76	147	68
crim1	176	121	44	70	86	55	13	3	8	12	23	23	74	103	50
eif2ak4	278	223	201	176	256	225	83	58	91	156	341	347	825	1152	458
LOC117806474	1	0	0	1	1	2	0	1	0	0	5	4	16	22	17
arhgap11a	881	868	652	525	741	452	299	88	92	357	715	558	639	442	278
grem1b	0	0	0	0	0	1	1	1	0	2	3	5	6	25	5
LOC117805731	4	1	9	15	20	12	8	6	7	11	27	23	100	181	86
LOC117805732	2	0	7	4	13	4	17	5	6	10	5	5	11	47	5
LOC117805906	17	36	60	149	363	298	21	81	36	26	1391	832	584	875	323
chrm5a	1	1	0	0	0	4	1	0	0	0	1	1	3	10	8
zgc:194887	0	0	0	0	0	2	0	0	0	0	1	2	0	6	3
LOC117806096	0	8	2	5	1	29	4	6	2	12	9	7	15	20	18
acp7	39	65	39	50	27	352	126	157	129	192	143	196	242	404	288
LOC117806097	1	0	1	2	0	15	2	3	8	1	13	21	47	30	16
LOC117806098	0	0	0	0	0	0	0	0	0	0	1	0	1	9	1
LOC117806094	5	12	5	5	5	326	74	99	48	37	101	163	747	190	195
fsip1	0	9	4	3	3	30	8	8	5	4	521	298	114	82	70
LOC117806047	283	245	354	277	402	139	169	69	75	191	392	275	247	284	148
LOC117806480	0	1	0	0	1	0	0	1	1	0	4	6	15	8	4
LOC117806481	0	0	0	0	0	0	0	0	0	0	1	0	2	7	0
LOC117806374	595	908	241	221	218	705	145	100	139	172	863	843	903	1050	668
LOC117806852	66	154	27	13	5	54	8	1	5	11	31	30	65	159	73
gpx2	1	2	0	0	0	0	0	0	0	0	1	0	0	4	0
LOC117806180	205	167	151	169	231	191	316	358	233	201	1859	1152	1153	662	241
LOC117805803	2	0	1	0	0	2	0	0	1	0	11	6	9	27	6
LOC117806734	68	73	55	58	58	107	36	18	29	33	189	199	182	179	99
LOC117806663	69	79	26	19	30	68	12	7	6	7	367	214	250	326	163
LOC117806326	1	4	4	9	3	73	19	4	25	9	32	7	95	556	260
LOC117806277	40	52	42	47	41	36	51	42	14	27	21	13	43	104	93
LOC117805835	5	6	1	0	0	31	2	1	8	1	15	20	24	68	33
exd1	708	669	864	712	671	1417	535	214	290	476	6126	5422	3541	2145	1434
LOC117805896	32	52	13	19	29	56	7	13	22	18	121	102	245	263	103
LOC117805897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117806354	2	2	2	2	0	39	1	1	2	0	13	19	83	168	17
vsx2	0	1	0	1	0	2	0	0	0	0	8	11	5	25	7
lin52	233	511	305	242	269	691	284	274	239	230	953	1061	625	481	389
pomt2	288	215	133	184	216	97	85	37	56	99	185	178	201	275	105
LOC117806685	32	22	16	13	33	40	22	15	37	24	136	54	196	200	98
LOC117806642	0	0	0	0	0	0	0	0	0	0	2	14	5	2	0
arel1	210	258	104	128	124	453	75	21	61	54	2347	1672	1821	2285	1103
fcf1	1190	2788	1497	1164	1564	2192	916	787	631	858	372	399	595	991	569
vash1	27	59	18	22	18	281	21	7	17	19	1128	732	728	524	442
angel1	242	242	89	163	126	208	82	23	50	43	514	396	735	867	400
LOC117806412	0	0	0	1	0	8	1	1	1	0	40	13	11	99	32
rps6kl1	6	2	1	1	0	23	4	2	2	2	23	29	61	207	71
dlst	950	1173	1250	1089	1410	832	1082	806	602	1184	1004	883	1139	1040	727
prox2	1	1	1	0	1	5	0	0	1	0	10	3	6	67	9
LOC117806578	13	9	5	19	3	10	6	4	2	6	17	8	40	33	19
esrrb	36	9	65	36	103	26	52	35	45	64	13	7	15	91	32
LOC117805786	11	16	8	9	16	29	7	2	9	6	38	30	74	130	55
LOC117805792	1	36	63	61	82	11	37	93	115	46	5	5	5	12	5
LOC117806830	69	106	77	98	77	471	77	78	77	92	2703	2609	1422	860	615
tgfb3	36	99	9	8	4	207	4	11	9	16	92	93	422	565	318
LOC117806122	0	0	0	0	0	1	0	0	0	0	10	16	6	0	1
ttll5	14	24	6	5	14	93	5	3	9	2	1448	863	752	475	190
erg28	11	132	200	27	13	195	118	40	29	155	159	123	165	215	96
flvcr2a	35	47	15	10	21	36	4	6	9	8	12	8	21	76	20
jdp2a	67	109	485	199	256	157	527	197	250	481	25	37	42	120	76
fosaa	2	8	3	1	2	25	0	1	7	2	29	18	63	40	21
mlh3	32	42	15	15	20	114	9	2	12	9	942	746	427	318	140
LOC117806587	0	0	0	0	0	0	0	0	0	0	1	2	0	8	1
LOC117806143	0	2	1	0	0	161	1	2	8	1	1836	1280	945	305	205
LOC117806142	78	92	20	28	13	137	22	20	31	16	370	225	457	650	266
LOC117806623	0	1	0	0	0	1	0	0	0	0	0	3	1	9	2
LOC117806483	0	0	0	0	0	1	0	1	0	0	0	5	11	8	4
ttc8	53	71	57	32	40	174	18	9	15	23	801	599	283	192	156
eml5	3	6	4	5	4	36	5	4	7	2	184	188	196	179	79
isca2	378	562	158	286	766	823	408	177	307	195	1091	1168	707	694	456
LOC117806065	8850	16027	8130	9050	12072	11619	9180	7013	5179	8902	392	577	528	652	532
gskip	415	430	133	190	210	305	170	108	90	205	190	211	375	396	278
atg2b	131	130	45	44	56	211	40	14	46	30	641	501	664	916	412
noxred1	0	1	0	5	6	73	5	1	4	0	756	940	400	151	80
tmed8	56	104	29	25	15	152	22	23	28	20	152	179	254	280	175
zgc:163014	3222	2695	2965	3004	4211	1867	2636	1590	1269	2425	23	19	35	101	30
gstz1	26	68	52	33	42	172	33	27	37	15	122	152	210	437	279
aldh6a1	47	82	91	52	97	85	72	80	127	127	149	176	377	532	332
LOC117806825	5	5	9	9	2	150	6	36	8	3	4771	3556	3091	897	559
entpd5a	3	5	3	1	2	6	1	1	1	5	24	21	16	46	28
coq6	553	457	604	533	495	431	589	670	499	655	471	438	505	465	291
fam161b	114	143	73	55	83	71	17	16	14	31	106	76	86	73	20
ngb	1	0	1	1	2	7	1	0	0	0	96	52	53	25	12
tmem63c	127	181	26	29	31	51	5	3	7	17	34	26	76	155	58
zdhhc22	1	1	0	3	0	3	1	0	0	1	4	3	12	21	12
cipca	171	212	36	57	33	173	20	15	30	22	341	236	381	498	257
LOC117806379	0	3	0	0	0	5	2	3	2	1	11	19	29	23	10
pgfb	0	1	0	1	0	0	0	1	1	1	7	7	5	5	3
slc35f4	13	1	0	1	0	0	0	1	0	0	12	4	5	33	12
LOC117805940	0	0	0	0	0	0	0	0	0	0	2	2	2	8	5
ap5m1	178	179	183	196	198	65	81	35	28	103	101	188	145	176	66
exoc5	378	283	253	222	274	217	126	46	41	125	537	392	383	341	189
tmem260	338	362	116	276	65	342	117	374	184	31	207	226	249	268	116
otx2b	0	0	1	0	0	2	0	1	0	0	4	3	1	11	4
peli2	688	758	286	262	358	365	51	26	36	76	507	327	314	306	183
ktn1	3759	2421	3660	2949	4392	1542	2010	1113	1224	3235	1942	1541	2471	1532	1019
msh4	4	5	17	4	30	206	49	4	35	51	1961	2009	1499	491	489
vcpkmt	185	237	108	103	70	292	50	57	39	39	452	441	490	345	278
arf6b	2367	2509	1302	1249	1407	1867	619	383	194	554	4863	4300	3090	1744	1291
aspg	103	83	51	79	76	119	48	45	21	44	530	698	578	640	257
kif26ab	56	120	125	93	128	109	72	26	20	86	87	64	201	299	98
c22h14orf180	20	50	7	7	3	23	5	0	11	2	17	38	88	101	35
LOC117806727	2	1	4	3	8	31	4	3	5	0	54	48	108	557	170
LOC117805958	0	6	0	1	0	3	0	0	0	0	13	3	22	57	5
LOC117805959	1460	1901	1300	1205	1356	1756	992	664	605	994	2217	2357	1840	3688	1799
orc3	1356	1221	918	846	871	913	577	446	447	712	283	289	488	572	278
znf292a	20	30	2	4	10	46	4	4	7	5	188	42	137	159	85
cga	0	0	0	0	1	2	0	0	0	0	2	0	2	2	2
LOC117806819	2252	2163	2424	2196	2506	1600	1341	497	660	1336	2084	1615	2604	1497	1214
snx14	12	2	0	8	4	51	8	2	7	9	67	63	121	217	71
htr1b	0	0	0	0	0	1	1	0	0	0	4	2	2	12	1
impg1b	1	0	0	1	1	1	1	0	0	0	5	7	11	61	14
LOC117805809	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1
LOC117806488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117805719	28	51	31	17	40	12	13	2	4	6	8	6	9	56	19
colec11	0	0	0	0	1	1	0	0	0	0	14	7	5	5	1
LOC117805755	15	31	18	21	34	62	21	23	11	26	504	549	423	164	79
LOC117806609	0	6	0	2	1	1	0	0	1	1	13	0	0	5	0
LOC117806813	23	56	68	28	28	23	36	16	18	27	32	58	72	67	29
sox11a	46	71	26	51	52	86	14	4	5	11	19	19	88	195	97
LOC117806636	0	0	0	0	0	0	0	0	0	0	0	0	4	8	4
LOC117806556	2	1	1	0	1	1	0	0	0	0	2	7	2	8	7
cmpk2	9	6	14	7	11	59	16	16	65	7	43	111	85	583	212
rsad2	5	12	5	1	6	17	7	3	32	4	19	84	53	373	141
rnf144aa	144	200	53	64	84	149	39	47	44	42	289	315	447	561	251
kidins220a	352	161	257	187	266	207	223	110	116	222	1574	1406	1267	1186	521
id2a	339	300	532	397	365	118	232	112	93	153	18	47	61	142	108
mboat2a	114	156	35	31	53	97	33	8	18	18	645	430	366	321	204
asap2a	468	378	361	313	441	182	153	80	84	202	132	106	276	271	109
itgb1bp1	157	182	174	207	192	257	171	103	101	188	1477	1122	883	353	318
LOC117805919	39	46	84	103	105	37	116	75	108	117	45	42	43	69	31
LOC117805920	727	685	412	339	424	395	140	91	60	222	85	69	104	124	68
iah1	198	338	396	267	268	448	290	409	345	293	101	168	247	411	249
adam17a	266	311	111	122	70	280	62	31	64	84	1047	1027	861	677	444
LOC117806035	1987	2711	1615	1735	1633	3101	1178	868	847	1166	3590	3187	3397	2771	2644
grhl1	164	245	91	93	113	75	37	6	16	34	26	3	18	56	22
klf11b	30	74	23	14	11	83	38	26	15	15	327	255	395	176	105
dnaaf2	3	5	5	31	4	263	15	16	9	14	4965	3331	2223	625	569
lrr1	386	313	286	253	284	172	221	77	84	152	221	198	239	235	124
LOC117806182	2	1	1	2	0	10	1	0	1	1	14	14	30	70	28
rpap1	429	225	445	328	411	275	342	184	145	293	560	367	471	659	300
LOC117806629	0	0	1	0	0	0	0	0	0	0	0	0	1	25	3
ltk	33	10	39	12	27	14	4	4	13	14	5	5	19	26	15
itpka	2	9	3	9	3	40	11	11	11	8	29	32	57	225	104
LOC117806498	0	0	0	0	0	0	0	0	0	0	0	11	2	2	0
ivd	679	731	134	217	221	453	64	44	59	86	470	528	901	610	423
bahd1	22	26	13	8	16	27	8	10	7	9	17	32	65	134	72
prlh2r	0	0	1	0	0	0	0	0	0	0	0	0	1	2	4
ccdc32	844	1159	599	577	539	765	474	314	235	396	287	262	311	246	206
pcmtl	109	94	68	74	55	97	36	17	30	36	215	123	141	171	98
rpusd2	628	559	561	421	550	310	353	145	107	374	291	301	283	442	223
disp2	0	0	1	0	0	3	0	0	0	1	4	10	22	62	29
LOC117806008	0	2	0	1	0	0	1	1	0	0	2	7	4	5	2
LOC117806009	0	1	0	0	0	0	0	0	0	0	1	2	1	4	2
pkdccb	80	93	41	37	58	114	24	10	21	18	29	36	80	185	96
eml1	104	163	111	91	113	105	97	25	20	88	127	153	172	259	186
evla	99	93	38	36	35	58	14	3	8	12	69	45	83	210	81
degs2	169	219	83	85	81	184	16	4	11	28	12	5	13	32	25
yy1a	342	389	270	186	315	271	99	36	37	147	107	143	178	194	93
prkcha	433	552	204	306	301	373	209	119	108	235	50	49	176	320	120
slc38a6	2309	3103	2709	3951	3948	1613	1890	1304	847	2554	115	72	89	125	43
trmt5	388	564	343	408	499	420	283	119	88	284	111	125	232	188	162
mnat1	257	282	289	388	250	286	222	228	173	250	522	555	351	269	169
six4a	1	1	2	0	1	1	1	0	0	1	2	0	1	5	2
LOC117806396	25	6	11	2	2	14	6	14	5	9	0	0	1	2	1
LOC117806399	11	16	3	1	4	18	8	0	4	4	6	53	44	66	23
six6a	2	4	0	2	0	39	1	0	1	0	816	570	423	173	96
ppm1aa	365	286	283	264	281	427	178	80	119	175	1904	1408	1231	1216	757
dhrs7	428	535	383	427	424	364	240	146	131	313	27	28	64	91	64
pcnx4	444	289	185	212	279	219	49	16	17	54	449	382	507	338	212
lrrc9	9	17	23	8	9	172	12	9	8	11	2636	2029	1584	450	351
rtn1a	29	48	11	7	17	91	21	12	23	13	445	423	379	332	198
tdrd9	365	233	466	439	517	1193	273	144	539	437	3297	3317	5538	5890	2562
rd3l	0	1	0	1	0	2	0	0	0	0	0	0	1	3	2
kif15	612	534	477	475	534	515	242	126	129	367	1473	1090	1073	656	416
tacc3	3017	2312	2634	2773	4139	1304	1893	841	712	2626	3407	2362	2657	1096	741
LOC117806737	112	130	33	49	40	88	19	15	18	13	43	44	202	282	169
zfyve28	228	225	82	68	118	115	32	23	15	32	536	334	226	303	155
cfap99	160	159	69	78	46	255	73	19	9	53	3082	2210	1676	641	394
si:dkey-21a6.5	32	74	12	6	10	62	35	56	36	67	22	80	39	131	112
mrpl35	537	1007	499	554	612	926	614	672	546	563	74	76	206	221	137
reep1	4	1	1	4	0	13	2	1	0	2	12	5	23	70	32
chmp3	233	417	62	77	53	406	36	38	44	32	392	416	414	401	298
hspa4l	0	2	0	0	2	4	2	0	1	1	19	9	20	74	20
plk4	789	675	622	462	756	494	410	208	254	480	1112	819	703	558	302
itpk1b	163	316	15	28	25	172	36	30	42	28	442	357	477	421	259
LOC117806761	509	496	488	521	461	329	436	234	180	350	218	83	262	386	190
btbd7	586	396	230	241	332	209	71	17	15	74	979	685	966	492	305
LOC117806762	1	1	2	5	3	10	1	33	1	0	3	5	7	11	2
LOC117806729	13	14	20	10	14	59	9	11	21	12	94	100	88	156	50
prima1	0	0	0	0	1	2	0	0	0	0	7	3	3	12	2
LOC117806198	1	1	0	0	0	19	0	1	1	0	405	438	228	57	60
LOC117806196	3	7	1	3	3	15	19	54	14	8	77	71	59	60	42
LOC117806194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
si:ch1073-416d2.4	1	1	0	0	0	49	0	0	1	0	667	595	398	124	86
LOC117806199	379	521	232	283	317	360	190	121	112	183	895	1209	1104	438	226
LOC117806869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ddx24	889	706	974	954	933	609	606	276	246	636	357	309	727	777	368
si:ch1073-416d2.3	0	0	0	0	1	0	1	0	0	0	6	1	3	12	2
atxn3	461	482	386	395	381	265	294	166	98	318	358	261	331	534	233
ubr1	529	345	426	423	546	325	225	85	107	275	1279	1024	838	871	421
prph2la	0	0	0	1	0	1	0	0	0	0	1	0	2	6	1
LOC117806574	0	0	0	0	1	1	2	0	0	0	1	0	1	4	4
gnmt	124	208	121	53	83	99	102	61	66	52	82	71	135	295	304
LOC117806078	1	1	0	0	0	1	0	0	0	0	2	3	4	4	4
LOC117806076	9	13	0	0	1	23	2	1	1	0	8	8	3	14	9
tpo	14	176	0	2	0	6	0	0	0	0	231	224	151	45	30
sntg2	0	1	0	1	1	13	1	0	0	0	7	3	25	50	13
kiaa1109	178	140	54	66	122	175	36	29	36	57	2731	1615	1187	708	379
c9orf72	217	212	207	193	205	205	148	88	64	150	125	117	213	201	111
lingo2b	2	0	0	0	0	0	0	0	0	0	29	18	28	34	16
eif4eb	218	315	113	110	119	645	44	43	52	52	1241	1114	923	465	385
metap1	534	663	508	452	443	470	345	147	149	241	303	290	703	619	397
LOC117805967	15	26	13	11	10	79	33	90	38	38	19	28	144	153	127
LOC117806293	25	58	17	25	6	271	38	77	59	30	70	120	274	481	264
LOC117806294	20	38	32	35	23	82	100	116	80	27	12	3	180	232	342
LOC117806295	0	2	3	3	1	14	15	0	11	8	10	1	6	7	7
LOC117806554	146	181	49	63	100	122	43	31	36	43	57	50	143	152	126
lrfn5a	1	0	2	1	1	3	0	0	0	1	30	22	32	25	4
LOC117805806	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117806596	0	0	0	0	0	0	0	0	0	0	3	3	1	20	2
LOC117806502	0	0	7	1	5	9	9	1	7	15	0	0	0	1	0
LOC117805728	379	548	126	172	219	560	75	38	59	75	6540	4674	3813	1607	1058
pnn	1418	857	1364	1492	1528	617	838	318	281	832	1310	1237	1577	1567	838
gemin2	498	458	449	488	431	323	456	427	240	433	128	107	270	353	191
LOC117806494	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ctage5	247	277	151	137	141	298	121	47	83	111	427	403	732	957	416
brms1la	165	218	60	65	53	155	32	11	15	23	296	182	552	903	394
ralgapa1	356	348	142	108	189	302	76	31	35	53	653	467	747	543	299
LOC117806001	0	1	1	1	3	4	2	0	1	0	3	2	2	14	6
nfkbiab	337	397	664	387	543	411	510	330	259	560	128	210	265	352	247
psma6a	754	631	512	443	446	403	403	399	289	498	639	641	519	419	267
prorp	609	345	503	554	398	312	396	204	154	442	145	156	240	263	159
ppp2r3c	114	174	157	229	74	362	68	57	75	65	766	695	533	418	306
fam177a1	71	104	21	44	15	220	32	10	23	24	386	478	508	418	228
ttc7b	143	145	115	98	114	135	71	47	57	84	816	695	986	588	330
calm1a	907	1101	596	509	852	1154	382	232	428	467	2417	2342	1611	1624	1613
LOC117806505	0	0	0	1	0	7	0	0	0	0	7	119	6	19	6
nrde2	161	150	174	181	204	149	114	54	73	175	383	355	292	297	128
LOC117805760	3977	4089	3599	3322	3731	4868	3259	2849	2301	3625	20229	17174	17899	10269	6738
LOC117806278	378	181	330	208	365	112	89	43	52	159	356	265	490	413	138
adprs	390	377	354	346	400	228	343	351	225	401	85	111	196	220	141
zmp:0000001267	8	5	6	2	7	266	34	66	62	4	72	152	369	366	272
utp25	310	213	167	214	188	164	70	36	39	62	176	193	369	346	172
grxcr1b	0	0	0	0	0	0	0	0	0	0	190	78	184	3	0
tmem151bb	0	0	1	0	0	0	1	2	3	1	0	2	8	22	0
mtres1	451	400	356	340	406	283	228	52	61	185	180	181	227	229	147
bend3	26	33	6	6	5	78	3	7	15	11	585	502	458	349	149
pdss2	192	256	398	461	397	257	352	369	254	388	295	262	297	241	164
sobpa	7	24	1	9	6	12	2	4	4	5	33	27	50	62	29
rock2a	385	236	178	171	220	162	88	29	44	108	282	282	535	515	259
slc66a3	118	272	91	104	111	188	113	67	106	95	50	37	72	73	65
c22h2orf50	1	2	16	9	4	31	6	2	10	12	353	300	158	69	49
LOC117805746	696	857	260	365	511	545	236	159	186	166	245	224	307	362	203
LOC117806344	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
alk	4	0	2	5	9	12	3	1	5	0	47	46	47	227	69
LOC117806343	37	146	8	6	10	47	5	1	1	3	1	0	2	11	2
wdr43	2990	1816	2541	3075	3038	1313	1612	589	629	1447	598	498	1066	925	531
trmt61b	375	192	273	83	437	211	270	76	54	168	127	78	129	109	56
spdya	47	107	369	86	237	286	370	303	329	373	1642	1355	639	547	380
pcare1	0	0	0	1	3	8	0	1	0	0	7	7	11	24	9
LOC117805905	0	5	0	0	2	3	1	1	0	2	2	0	0	1	1
LOC117806657	83	88	25	18	33	24	9	6	11	12	5	3	10	18	11
LOC117806658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117806701	0	1	0	1	0	3	3	3	4	7	2	1	1	6	0
LOC117805856	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
supt7l	221	303	259	323	350	272	133	50	76	138	259	280	289	298	145
slc4a1ap	480	338	539	513	530	184	448	218	158	512	246	219	361	332	148
si:dkey-16j16.4	20	85	18	11	12	74	19	12	16	18	41	70	160	338	156
LOC117806046	0	1	0	0	1	1	0	0	0	0	0	0	3	2	2
mrpl33	461	1103	705	723	676	927	478	511	366	506	60	90	165	259	162
rbks	15	14	32	11	22	47	25	22	30	43	44	35	89	86	57
babam2	122	166	77	96	90	238	47	37	47	65	411	349	547	708	388
LOC117806572	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
fosl2	32	54	15	20	25	229	184	232	155	130	66	101	276	190	249
LOC117806312	0	0	0	0	0	0	0	0	0	0	8	3	6	14	0
wdr35	163	100	91	147	124	557	59	37	68	85	5344	2229	2326	948	425
LOC117805827	1	1	0	1	1	6	0	2	1	0	14	8	29	110	34
LOC117806499	0	0	2	0	0	0	1	0	1	0	3	2	2	10	11
odc1	3045	3480	3270	1805	2376	2745	1202	472	677	1257	4669	3147	5646	1774	1423
LOC117806016	0	0	1	0	0	1	0	0	0	0	3	4	3	1	1
nol10	296	137	201	267	277	118	135	45	67	180	388	286	345	339	155
atp6v1c2	2	0	0	1	0	1	1	0	2	0	13	5	10	24	7
kcnf1b	0	0	0	0	0	1	0	0	0	0	2	1	2	23	5
LOC117806782	34	89	1	11	5	85	11	3	1	2	396	513	352	249	88
mocs1	348	260	383	262	493	137	247	170	72	307	210	233	134	174	98
LOC117806486	0	0	1	0	0	5	1	0	0	0	0	2	0	3	6
LOC117806551	1	0	0	2	0	5	3	0	0	0	0	4	2	7	7
LOC117806352	10	12	30	16	27	13	11	3	9	4	17	9	20	28	44
LOC117806543	3	4	20	10	35	4	0	0	6	0	1	2	4	3	64
LOC117806837	0	4	1	3	0	13	11	4	10	1	0	14	20	48	17
LOC117806835	0	5	10	33	3	54	13	5	19	5	12	19	75	78	33
daam2	247	260	132	133	170	126	41	39	29	68	33	34	107	143	87
LOC117806251	0	0	2	0	2	0	0	2	0	0	1	0	0	0	0
LOC117806838	0	0	0	0	2	2	1	0	0	0	0	1	0	1	0
kif6	11	13	9	7	8	123	7	1	5	17	1826	1846	1938	216	257
LOC117806833	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117806864	0	0	0	0	0	5	1	0	0	0	14	50	18	14	7
kcnk17	23	15	38	66	42	22	153	55	40	63	56	69	38	38	15
kcnk5a	688	709	478	487	660	567	168	41	80	165	37	34	190	180	84
rab3gap2	361	197	293	254	387	323	226	133	132	241	998	853	1169	1437	601
iars2	701	622	818	917	800	658	641	374	303	907	690	652	988	1097	492
qrsl1	529	364	620	414	783	322	409	422	236	491	257	77	137	271	89
rtn4ip1	390	384	514	631	629	200	319	188	187	335	65	66	85	95	55
crybg1a	21	12	12	12	14	60	20	17	19	24	29	31	140	198	102
ccr6b	0	0	0	0	0	1	1	0	0	0	0	1	4	12	5
LOC117806332	167	250	164	121	146	140	66	34	61	91	63	72	254	288	145
myt1lb	79	24	15	13	18	17	5	2	10	1	72	47	103	102	65
eipr1	156	131	100	129	73	150	92	72	54	94	469	477	365	271	187
LOC117806619	0	0	0	0	0	0	0	0	0	0	0	16	1	4	1
trappc12	438	319	330	195	270	194	215	114	103	203	309	247	286	369	164
adi1	304	417	259	460	369	385	376	172	221	284	85	172	280	471	323
trnas-gcu_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rin3	25	63	107	59	90	99	109	64	48	84	86	92	287	358	169
pth2	1	0	0	0	1	1	1	0	1	0	0	2	2	4	5
tedc1	244	314	239	280	233	218	249	368	198	239	224	196	236	224	146
dnal1	17	59	4	33	5	154	8	4	2	2	946	770	510	154	96
gphna	319	305	279	302	309	127	181	105	109	203	433	246	254	201	109
mpp5a	160	268	105	83	95	165	53	25	58	54	985	690	758	607	276
ccdc88c	91	80	47	32	63	68	14	5	12	10	805	533	422	306	152
LOC117805868	5	0	5	0	3	5	3	2	2	4	6	2	13	16	3
dglucy	38	49	48	57	90	149	54	18	35	43	167	204	190	257	114
apoba	5	8	9	5	11	39	6	1	8	7	231	171	148	228	97
ldah	237	533	274	402	297	273	258	132	98	247	56	71	71	96	63
alkbh1	951	596	752	730	1289	556	820	405	232	588	53	64	91	159	67
slirp	996	3050	1110	1153	1077	1601	1000	1176	962	1158	272	312	438	641	355
adck1	297	165	115	96	142	123	42	10	19	45	60	30	125	110	53
nrxn3a	80	44	21	51	29	25	5	5	17	20	54	37	47	76	29
LOC117806370	4	0	7	0	6	0	10	10	1	8	1	1	0	2	1
dio2	4	1	1	0	0	1	2	0	0	0	2	0	3	17	6
LOC117805839	0	0	0	5	0	0	0	0	5	0	0	0	1	1	1
LOC117805838	1	8	1	1	2	5	4	0	1	18	7	2	8	54	15
LOC117805840	0	0	0	3	1	1	0	1	0	0	1	0	2	7	2
osr1	44	22	74	45	31	41	148	135	84	139	3	4	1	17	7
LOC117806060	78	72	63	77	82	71	73	66	36	81	19	22	53	66	38
LOC117806061	24	69	87	53	21	61	21	28	15	63	26	14	37	106	23
lamtor3	635	925	491	412	404	975	424	483	339	423	512	567	717	938	577
dapp1	0	3	0	4	3	9	4	1	5	6	1	14	16	32	15
LOC117806222	5	18	6	11	26	41	37	18	51	19	116	567	411	272	192
atp10d	289	182	179	152	251	138	69	36	42	92	151	110	249	269	98
commd8	382	383	307	386	409	527	432	454	377	402	294	290	363	767	389
gabrb1	1	2	0	8	0	6	3	6	2	2	3	6	9	34	6
LOC117806247	0	0	1	10	1	4	10	1	0	0	0	0	0	0	0
LOC117806249	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
gabra2a	2	2	0	0	0	2	0	1	0	0	8	3	3	45	6
gabrg1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1
LOC117806242	470	545	459	324	467	481	235	181	115	245	596	662	682	578	367
LOC117806230	0	0	0	0	0	2	0	0	0	0	199	93	74	25	31
LOC117806223	9	17	17	10	3	79	21	20	43	17	24	27	103	60	63
ankrd6a	16	14	4	19	5	18	4	3	4	8	14	1	32	14	34
LOC117806234	0	0	0	0	1	1	0	0	0	0	4	5	4	24	6
LOC117806227	2	4	4	2	2	2	4	1	0	2	58	36	31	12	5
LOC117806232	132	159	52	27	30	108	13	11	22	58	90	119	168	190	94
LOC117806224	1	1	2	0	2	4	0	1	0	1	10	2	12	29	5
LOC117806233	40	73	29	39	37	48	27	4	5	34	110	91	183	155	95
jkamp	713	875	334	487	524	616	284	68	80	121	534	345	329	307	152
fam241a	381	475	245	299	288	467	231	133	82	221	184	234	307	336	242
lrit3b	6	1	3	3	4	4	1	3	4	6	8	10	14	15	7
enpep	391	170	131	191	109	213	214	97	64	157	44	34	53	114	43
LOC117806231	2	0	0	2	0	8	0	0	0	0	609	423	452	97	50
rrh	5	3	16	9	12	8	17	22	7	8	4	5	10	50	4
LOC117806245	740	761	564	583	549	829	644	616	543	637	752	918	831	684	651
LOC117806226	9	15	2	5	11	36	12	0	35	26	14	27	51	70	58
rragd	13	7	29	23	23	16	39	22	25	26	8	14	31	75	34
gabrr2a	3	0	6	8	7	0	1	2	3	1	0	1	4	4	1
syne3	178	186	68	64	57	117	33	21	18	33	533	401	295	245	124
clmn	66	11	24	13	42	19	9	5	12	22	48	39	90	73	39
dicer1	209	92	149	111	191	69	29	18	34	58	578	412	387	302	72
gsc	12	11	28	12	33	16	20	18	13	29	3	4	4	26	6
LOC117805799	2	10	0	0	2	0	1	2	1	0	0	0	0	1	0
LOC117805852	1	1	0	3	2	3	1	0	0	1	3	4	1	8	3
LOC117806779	42	1	31	80	44	42	24	3	1	52	4	3	8	6	7
LOC117806780	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
si:dkey-87k14.1	4	7	2	1	0	10	0	0	2	2	5	4	17	42	15
LOC117806781	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0
LOC117806778	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
